Total Length,Execute Time
340,236.76927947998047
341,236.84300994873047
342,236.76927947998047
343,236.79692840576172
344,236.81228637695312
345,236.81439971923828
346,236.8081283569336
347,236.92595672607422
348,236.9000701904297
349,236.84300994873047
350,236.8911361694336
351,236.8715591430664
352,237.00768280029297
353,237.02220916748047
354,236.81356811523438
355,236.91263580322266
356,236.92890167236328
357,236.95040130615234
358,237.1399688720703
359,236.94451141357422
360,237.04166412353516
361,237.1337890625
362,236.97109985351562
363,236.99148559570312
364,237.00889587402344
365,237.09490966796875
366,237.06419372558594
367,237.08179473876953
368,237.08160400390625
369,237.8106918334961
370,237.98149871826172
371,237.84959411621094
372,237.85267639160156
373,237.8936309814453
374,237.88230895996094
375,237.9060516357422
376,237.90694427490234
377,237.92211151123047
378,238.0430679321289
379,237.98265838623047
380,237.95206451416016
381,238.09127044677734
382,237.9857940673828
383,237.97440338134766
384,238.01856231689453
385,312.37939453125
386,312.3916778564453
387,312.4143371582031
388,312.4551696777344
389,312.46234130859375
390,312.4469757080078
391,312.52276611328125
392,312.4356994628906
393,312.46533203125
394,312.46336364746094
395,312.491943359375
396,312.77159118652344
397,312.4776916503906
398,312.67820739746094
399,312.49407958984375
400,312.48876953125
401,312.51446533203125
402,312.54937744140625
403,312.5698547363281
404,312.5340270996094
405,312.5473327636719
406,312.5461120605469
407,312.5995178222656
408,312.55955505371094
409,312.70294189453125
410,312.6231384277344
411,312.6026306152344
412,312.5882873535156
413,312.59519958496094
414,312.6466522216797
415,312.65484619140625
416,312.6456298828125
417,311.2642517089844
418,311.26844787597656
419,311.2844696044922
420,311.2548522949219
421,311.49769592285156
422,311.27317810058594
423,311.4770812988281
424,311.29087829589844
425,311.3840637207031
426,311.28167724609375
427,311.3185729980469
428,311.2181701660156
429,311.4977264404297
430,311.28575134277344
431,311.31646728515625
432,311.601318359375
433,311.43833923339844
434,311.4383239746094
435,311.55787658691406
436,311.8407745361328
437,311.6144714355469
438,311.52537536621094
439,311.6318664550781
440,311.7178955078125
441,311.82630920410156
442,311.6072998046875
443,311.6093444824219
444,311.68841552734375
445,311.6349334716797
446,311.6513214111328
447,311.521240234375
448,311.5766296386719
449,312.0640106201172
450,312.1745910644531
451,312.1549987792969
452,312.1543731689453
453,312.1880645751953
454,312.19097900390625
455,312.22862243652344
456,312.18994140625
457,312.4757080078125
458,312.5012512207031
459,312.3271789550781
460,312.4183044433594
461,312.9559631347656
462,313.0716247558594
463,313.18426513671875
464,313.17298889160156
465,313.1555938720703
466,313.0839080810547
467,313.0787811279297
468,313.18629455566406
469,313.12367248535156
470,313.1865692138672
471,313.1615295410156
472,313.1166687011719
473,313.1175994873047
474,313.4218292236328
475,313.21600341796875
476,313.21824645996094
477,312.58522033691406
478,312.6394805908203
479,312.7889862060547
480,312.6333465576172
481,312.47947692871094
482,312.9405517578125
483,312.6313018798828
484,312.6640625
485,312.7808074951172
486,312.9916534423828
487,312.79103088378906
488,312.76953125
489,313.43206787109375
490,313.380859375
491,313.344970703125
492,313.3991241455078
493,313.69195556640625
494,313.4300079345703
495,313.4823913574219
496,313.6839599609375
497,313.48223876953125
498,313.279296875
499,313.4361572265625
500,313.3103332519531
501,313.4853210449219
502,313.6944274902344
503,313.53846740722656
504,313.5191650390625
505,313.69215393066406
506,313.41465759277344
507,313.7166442871094
508,313.53846740722656
509,313.57142639160156
510,313.48634338378906
511,313.8693084716797
512,313.4504852294922
513,380.92991638183594
514,380.7600555419922
515,380.88902282714844
516,380.9556427001953
517,381.01612854003906
518,380.94517517089844
519,380.82969665527344
520,380.94029235839844
521,380.95640563964844
522,380.87066650390625
523,380.9259490966797
524,380.89344787597656
525,380.8686065673828
526,380.89622497558594
527,380.9208221435547
528,380.9914245605469
529,381.0037536621094
530,380.9208221435547
531,381.18690490722656
532,380.9770202636719
533,381.05906677246094
534,381.05088806152344
535,380.98211669921875
536,381.15545654296875
537,381.1061706542969
538,381.18809509277344
539,381.1448059082031
540,381.093017578125
541,381.25794982910156
542,381.1693420410156
543,381.3529510498047
544,381.1282958984375
545,381.2669372558594
546,381.23692321777344
547,381.4420471191406
548,381.2228088378906
549,381.2884216308594
550,381.33453369140625
551,381.2637023925781
552,381.34393310546875
553,381.9704284667969
554,382.0093536376953
555,382.2067565917969
556,382.0659637451172
557,382.11488342285156
558,382.12086486816406
559,382.08802795410156
560,382.1045684814453
561,382.1342010498047
562,382.1588592529297
563,382.3493194580078
564,382.1616516113281
565,382.21824645996094
566,382.2192687988281
567,382.2704620361328
568,382.2059631347656
569,382.3175048828125
570,382.49366760253906
571,382.3021697998047
572,382.47023010253906
573,382.31858825683594
574,382.4066619873047
575,382.41383361816406
576,382.3730926513672
577,379.8456268310547
578,379.826171875
579,379.846435546875
580,379.8621826171875
